local_authority_district,Fatal,Serious,Slight
-1,164131,45343,3100
1,1383,239,2
2,812,132,2
3,746,134,3
4,906,140,2
5,1200,154,1
6,771,108,4
7,875,136,5
8,1169,190,0
9,1264,238,4
10,1162,194,3
11,758,108,4
12,712,117,0
13,677,100,3
14,717,97,0
15,582,90,5
16,592,72,3
17,831,109,4
18,512,65,2
19,703,109,3
20,972,166,5
21,438,62,5
22,547,100,5
23,342,70,2
24,460,96,3
25,802,102,5
26,710,112,7
27,1060,125,2
28,949,105,5
29,444,60,3
30,974,141,3
31,903,102,2
32,1038,107,2
33,254,47,3
38,148,46,2
40,287,62,3
57,22,6,0
60,132,56,9
61,75,36,1
62,137,62,3
63,74,32,1
64,65,46,6
65,166,94,12
70,244,95,4
71,245,83,0
72,129,54,6
73,201,76,3
74,140,53,5
75,137,57,2
76,228,131,6
77,123,40,1
79,288,112,1
80,98,56,3
82,97,43,1
83,194,51,3
84,179,65,7
85,187,90,4
90,194,41,2
91,794,137,7
92,182,61,3
93,373,85,2
95,429,108,3
100,391,52,5
101,239,36,3
102,915,104,12
104,289,62,4
106,270,58,5
107,402,71,6
109,303,47,10
110,236,40,5
112,256,46,6
114,274,64,15
124,189,35,3
128,413,58,6
129,733,133,22
130,613,113,15
139,490,183,27
146,306,65,2
147,431,80,2
148,257,47,3
149,186,35,2
150,334,96,10
161,130,44,3
169,605,203,23
180,95,45,11
181,168,71,8
182,293,100,13
184,111,36,2
185,120,49,7
186,174,30,9
187,158,44,8
189,436,54,7
200,809,140,7
202,250,64,4
203,577,119,13
204,1369,318,16
206,489,124,8
210,328,132,11
211,556,206,6
213,342,155,13
215,720,307,10
228,749,160,10
231,702,189,24
232,426,98,17
233,405,88,3
240,133,28,4
241,144,52,10
243,229,40,3
245,265,65,8
250,112,12,2
251,138,39,5
252,114,23,3
253,133,29,6
254,147,18,1
255,149,34,3
256,96,25,4
257,305,43,3
258,44,7,1
270,177,42,3
273,133,31,5
274,118,31,1
276,129,19,1
277,232,64,11
278,148,52,5
284,175,46,4
285,374,133,10
286,441,168,16
290,226,63,8
291,178,54,5
292,226,69,11
293,223,95,12
294,270,71,7
300,2281,365,9
302,498,91,6
303,311,85,4
305,534,94,5
306,258,37,5
307,454,72,7
309,450,72,4
320,167,41,1
321,117,36,3
322,108,27,2
323,444,55,3
324,138,25,4
325,105,45,4
327,145,38,5
328,151,45,3
329,128,68,10
340,230,62,3
341,241,91,6
342,173,46,0
343,170,44,4
344,168,29,3
345,268,79,4
346,746,126,2
347,210,75,4
350,167,37,6
351,352,145,21
352,203,39,2
353,263,100,14
354,271,73,7
355,242,80,12
356,246,59,15
360,139,29,8
361,134,24,4
362,173,56,5
363,94,42,9
364,526,83,2
365,55,19,5
366,112,41,6
367,33,7,1
368,35,30,4
